emotion,confidence,timestamp,datetime
sad,0.33,1768804704.0686576,2026-01-19 13:38:24
sad,0.32,1768804704.42996,2026-01-19 13:38:24
angry,0.4,1768804704.7285888,2026-01-19 13:38:24
neutral,0.36,1768804704.9955757,2026-01-19 13:38:24
neutral,0.38,1768804705.2622774,2026-01-19 13:38:25
angry,0.54,1768804705.53435,2026-01-19 13:38:25
angry,0.47,1768804705.7927496,2026-01-19 13:38:25
angry,0.52,1768804706.0331278,2026-01-19 13:38:26
angry,0.41,1768804706.5408907,2026-01-19 13:38:26
angry,0.44,1768804706.779776,2026-01-19 13:38:26
angry,0.42,1768804707.0319672,2026-01-19 13:38:27
angry,0.48,1768804707.2540107,2026-01-19 13:38:27
angry,0.43,1768804707.5632904,2026-01-19 13:38:27
angry,0.36,1768804707.8311808,2026-01-19 13:38:27
angry,0.49,1768804708.0269172,2026-01-19 13:38:28
happy,0.31,1768804708.3337684,2026-01-19 13:38:28
happy,1.0,1768804708.5886104,2026-01-19 13:38:28
happy,0.99,1768804708.831838,2026-01-19 13:38:28
happy,0.97,1768804709.1809046,2026-01-19 13:38:29
happy,0.98,1768804709.5374842,2026-01-19 13:38:29
happy,0.92,1768804709.8052006,2026-01-19 13:38:29
happy,0.98,1768804710.0721474,2026-01-19 13:38:30
happy,0.99,1768804710.3430393,2026-01-19 13:38:30
happy,0.99,1768804710.6264393,2026-01-19 13:38:30
angry,0.45,1768804711.0165377,2026-01-19 13:38:31
neutral,0.38,1768804711.2590158,2026-01-19 13:38:31
sad,0.4,1768804711.5637023,2026-01-19 13:38:31
sad,0.37,1768804711.8707826,2026-01-19 13:38:31
neutral,0.38,1768804712.1556554,2026-01-19 13:38:32
